"Vote Type (FOR=1,AGAINST=2)","County","Candidate Name","Party","Office Name","Office District","Winner","Write-In?", LEGS 37B,LEGS 47,LEGS 02A,LEGS 45,LEGS 26,LEGS 08,LEGS 28,LEGS 03B,LEGS 13,LEGS 12B,LEGS 17,LEGS 34A,LEGS 04B,LEGS 07,LEGS 29B,LEGS 34B,LEGS 21,LEGS 04A,LEGS 18,LEGS 11,LEGS 38B,LEGS 16,LEGS 19,LEGS 22,LEGS 31,LEGS 44,LEGS 20,LEGS 23A,LEGS 02C,LEGS 09B,LEGS 36,LEGS 03A,LEGS 09A,LEGS 39,LEGS 32,LEGS 43,LEGS 10,LEGS 25,LEGS 42,LEGS 29A,LEGS 12A,LEGS 14,LEGS 15,LEGS 46,LEGS 27B,LEGS 29C,LEGS 35A,LEGS 01B,LEGS 37A,LEGS 01A,LEGS 40,LEGS 41,LEGS 24,LEGS 06,LEGS 35B,LEGS 01C,LEGS 05A,LEGS 33A,LEGS 30,LEGS 33B,LEGS 27A,LEGS 05B,LEGS 38A,LEGS 23B,LEGS 02B
1,00,"Other Write-Ins",BOT,House of Delegates,22,,Y,,,,,,,,,,,,,,,,,,,,,,,,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,00,"James W. Hubbard",DEM,House of Delegates,23A,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,00,"Geraldine Valentino-Smith",DEM,House of Delegates,23A,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,00,"Margaret I. Moodie",REP,House of Delegates,23A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,00,"Other Write-Ins",BOT,House of Delegates,23A,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,00,"Marvin E. Holmes, Jr.",DEM,House of Delegates,23B,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10293,
1,00,"Other Write-Ins",BOT,House of Delegates,23B,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,
1,00,"Tiffany Alston",DEM,House of Delegates,24,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17378,,,,,,,,,,,,
1,00,"Carolyn J. B. Howard",DEM,House of Delegates,24,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16528,,,,,,,,,,,,
1,00,"Michael L. Vaughn",DEM,House of Delegates,24,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16474,,,,,,,,,,,,
1,00,"Other Write-Ins",BOT,House of Delegates,24,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,,,,,,,,,,,,
1,00,"Aisha Braveboy",DEM,House of Delegates,25,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20775,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,00,"Dereck E. Davis",DEM,House of Delegates,25,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19171,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,00,"Melony Ghee Griffith",DEM,House of Delegates,25,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18684,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,00,"Other Write-Ins",BOT,House of Delegates,25,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,00,"Veronica Turner",DEM,House of Delegates,26,Y,,,,,,20774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,00,"Kriselda Kris Valderrama",DEM,House of Delegates,26,Y,,,,,,17864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,00,"Jay Walker",DEM,House of Delegates,26,Y,,,,,,17982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,00,"Holly Ellison Henderson",REP,House of Delegates,26,,,,,,,2211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,00,"Other Write-Ins",BOT,House of Delegates,26,,Y,,,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,00,"James E. Proctor, Jr.",DEM,House of Delegates,27A,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19988,,,,
1,00,"Joseph F. Vallario, Jr.",DEM,House of Delegates,27A,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17717,,,,
1,00,"Mike Hethmon",REP,House of Delegates,27A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4489,,,,
1,00,"Antoinette Toni Jarboe-Duley",REP,House of Delegates,27A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4197,,,,
1,00,"Other Write-Ins",BOT,House of Delegates,27A,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,,
1,00,"Sue Kullen",DEM,House of Delegates,27B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6012,,,,,,,,,,,,,,,,,,,,
1,00,"Mark N. Fisher",REP,House of Delegates,27B,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6929,,,,,,,,,,,,,,,,,,,,
1,00,"Other Write-Ins",BOT,House of Delegates,27B,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,
1,00,"Sally Y. Jameson",DEM,House of Delegates,28,Y,,,,,,,,23663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,00,"Peter Murphy",DEM,House of Delegates,28,Y,,,,,,,,21744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,00,"C. T. Wilson",DEM,House of Delegates,28,Y,,,,,,,,19991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,00,"Kirk W. Bowie",REP,House of Delegates,28,,,,,,,,,12314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,00,"Mike Phillips",REP,House of Delegates,28,,,,,,,,,11603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,00,"Daniel D. Richards",REP,House of Delegates,28,,,,,,,,,10875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,00,"Other Write-Ins",BOT,House of Delegates,28,,Y,,,,,,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,00,"John F. Wood, Jr.",DEM,House of Delegates,29A,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6264,,,,,,,,,,,,,,,,,,,,,,,,,
1,00,"Matt Morgan",REP,House of Delegates,29A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6246,,,,,,,,,,,,,,,,,,,,,,,,,
1,00,"Other Write-Ins",BOT,House of Delegates,29A,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,
1,00,"John Bohanan",DEM,House of Delegates,29B,Y,,,,,,,,,,,,,,,,6522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,00,"Erik Anderson",REP,House of Delegates,29B,,,,,,,,,,,,,,,,,5975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,00,"Other Write-Ins",BOT,House of Delegates,29B,,Y,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,00,"Chris Davies",DEM,House of Delegates,29C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4748,,,,,,,,,,,,,,,,,,,
1,00,"Tony O'Donnell",REP,House of Delegates,29C,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6766,,,,,,,,,,,,,,,,,,,
1,00,"Shawn P. Quinn",LIB,House of Delegates,29C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,424,,,,,,,,,,,,,,,,,,,
1,00,"Other Write-Ins",BOT,House of Delegates,29C,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,
1,00,"Michael E. Busch",DEM,House of Delegates,30,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18718,,,,,,
1,00,"Virginia P. Clagett",DEM,House of Delegates,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16127,,,,,,
1,00,"Judd Legum",DEM,House of Delegates,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15221,,,,,,
1,00,"Ron George",REP,House of Delegates,30,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20907,,,,,,
1,00,"Seth Howard",REP,House of Delegates,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16296,,,,,,
1,00,"Herb McMillan",REP,House of Delegates,30,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18289,,,,,,
1,00,"Other Write-Ins",BOT,House of Delegates,30,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,,,,,,
1,00,"Jeremiah Chiappelli",DEM,House of Delegates,31,,,,,,,,,,,,,,,,,,,,,,,,,,,10420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,00,"Robert L. Eckert",DEM,House of Delegates,31,,,,,,,,,,,,,,,,,,,,,,,,,,,9541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,00,"Justin M. Towles",DEM,House of Delegates,31,,,,,,,,,,,,,,,,,,,,,,,,,,,9645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,00,"Don Dwyer, Jr.",REP,House of Delegates,31,Y,,,,,,,,,,,,,,,,,,,,,,,,,,19173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,00,"Nicholaus R. Kipke",REP,House of Delegates,31,Y,,,,,,,,,,,,,,,,,,,,,,,,,,20548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,00,"Steve Schuh",REP,House of Delegates,31,Y,,,,,,,,,,,,,,,,,,,,,,,,,,19309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,00,"Joshua Matthew Crandall",LIB,House of Delegates,31,,,,,,,,,,,,,,,,,,,,,,,,,,,1719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,00,"Cory Faust, Sr.",CON,House of Delegates,31,,,,,,,,,,,,,,,,,,,,,,,,,,,1427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,00,"Other Write-Ins",BOT,House of Delegates,31,,Y,,,,,,,,,,,,,,,,,,,,,,,,,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,00,"Pamela Beidle",DEM,House of Delegates,32,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,00,"Mary Ann Love",DEM,House of Delegates,32,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,00,"Theodore Sophocleus",DEM,House of Delegates,32,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,00,"Stephanie A. Hodges",REP,House of Delegates,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,00,"Wayne Smith",REP,House of Delegates,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,00,"David P. Starr",REP,House of Delegates,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,00,"Other Write-Ins",BOT,House of Delegates,32,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,00,"Madonna Brennan",DEM,House of Delegates,33A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11469,,,,,,,
1,00,"Tony McConkey",REP,House of Delegates,33A,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14635,,,,,,,
1,00,"Cathy Vitale",REP,House of Delegates,33A,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18737,,,,,,,
1,00,"Other Write-Ins",BOT,House of Delegates,33A,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,,,,,,,
1,00,"Bob Costa",REP,House of Delegates,33B,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11537,,,,,
1,00,"Other Write-Ins",BOT,House of Delegates,33B,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134,,,,,
1,00,"Mary-Dulany James",DEM,House of Delegates,34A,Y,,,,,,,,,,,,,11192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,00,"Marla Posey-Moss",DEM,House of Delegates,34A,,,,,,,,,,,,,,8591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,00,"Glen Glass",REP,House of Delegates,34A,Y,,,,,,,,,,,,,9818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,00,"Patrick McGrady",REP,House of Delegates,34A,,,,,,,,,,,,,,8845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,00,"Other Write-Ins",BOT,House of Delegates,34A,,Y,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,00,"David D. Rudolph",DEM,House of Delegates,34B,Y,,,,,,,,,,,,,,,,,6187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,00,"Theodore A. Patterson",REP,House of Delegates,34B,,,,,,,,,,,,,,,,,,5928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,00,"Michael W. Dawson",CON,House of Delegates,34B,,,,,,,,,,,,,,,,,,675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,00,"Other Write-Ins",BOT,House of Delegates,34B,,Y,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,00,"Joseph J. Gutierrez",DEM,House of Delegates,35A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5488,,,,,,,,,,,,,,,,,,
1,00,"John W. Jones",DEM,House of Delegates,35A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6808,,,,,,,,,,,,,,,,,,
1,00,"Wayne Norman",REP,House of Delegates,35A,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20061,,,,,,,,,,,,,,,,,,
1,00,"Donna Stifler",REP,House of Delegates,35A,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20259,,,,,,,,,,,,,,,,,,
1,00,"Other Write-Ins",BOT,House of Delegates,35A,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,,,,,,,,,,,,,,,,,,
1,00,"John Janowich",DEM,House of Delegates,35B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3679,,,,,,,,,,
1,00,"Susan K. McComas",REP,House of Delegates,35B,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10080,,,,,,,,,,
1,00,"Other Write-Ins",BOT,House of Delegates,35B,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,
1,00,"Other Write-Ins",BOT,House of Delegates,36,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,00,"William C. Manlove",DEM,House of Delegates,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,00,"Michael D. Smigiel, Sr.",REP,House of Delegates,36,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,00,"Arthur Hock",DEM,House of Delegates,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,00,"Jay A. Jacobs",REP,House of Delegates,36,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,00,"Stephen S. Hershey, Jr.",REP,House of Delegates,36,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,00,"Rudolph C. Cane",DEM,House of Delegates,37A,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5145,,,,,,,,,,,,,,,,
1,00,"Dustin Mills",REP,House of Delegates,37A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3141,,,,,,,,,,,,,,,,
1,00,"Other Write-Ins",BOT,House of Delegates,37A,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,
1,00,"Patrice L. Stanley",DEM,House of Delegates,37B,,,7674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,00,"Adelaide Addie Eckardt",REP,House of Delegates,37B,Y,,17853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,00,"Jeannie Haddaway",REP,House of Delegates,37B,Y,,17132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,00,"Other Write-Ins",BOT,House of Delegates,37B,,Y,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,00,"Michael K. McCready",DEM,House of Delegates,38A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4155,,
1,00,"Charles James Otto",REP,House of Delegates,38A,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6798,,
1,00,"Other Write-Ins",BOT,House of Delegates,38A,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,
1,00,"Norman H. Conway",DEM,House of Delegates,38B,Y,,,,,,,,,,,,,,,,,,,,,,12647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,00,"Gee Williams",DEM,House of Delegates,38B,,,,,,,,,,,,,,,,,,,,,,,7902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,00,"Mike McDermott",REP,House of Delegates,38B,Y,,,,,,,,,,,,,,,,,,,,,,12176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,00,"Marty Pusey",REP,House of Delegates,38B,,,,,,,,,,,,,,,,,,,,,,,10978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,00,"Other Write-Ins",BOT,House of Delegates,38B,,Y,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,00,"Charles Barkley",DEM,House of Delegates,39,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,00,"Kirill Reznik",DEM,House of Delegates,39,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,00,"Shane Robinson",DEM,House of Delegates,39,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,00,"Jim Pettit",REP,House of Delegates,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,00,"Al Phillips",REP,House of Delegates,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,00,"Bill Witham",REP,House of Delegates,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,00,"Other Write-Ins",BOT,House of Delegates,39,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,00,"Frank M. Conaway, Jr.",DEM,House of Delegates,40,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16072,,,,,,,,,,,,,,
1,00,"Barbara A. Robinson",DEM,House of Delegates,40,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13366,,,,,,,,,,,,,,
1,00,"Shawn Z. Tarrant",DEM,House of Delegates,40,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12844,,,,,,,,,,,,,,
1,00,"Other Write-Ins",BOT,House of Delegates,40,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252,,,,,,,,,,,,,,
1,00,"Jill P. Carter",DEM,House of Delegates,41,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18643,,,,,,,,,,,,,
1,00,"Nathaniel T. Oaks",DEM,House of Delegates,41,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16219,,,,,,,,,,,,,
1,00,"Samuel I. Sandy Rosenberg",DEM,House of Delegates,41,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16855,,,,,,,,,,,,,
1,00,"Mark Ehrlichmann",REP,House of Delegates,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3767,,,,,,,,,,,,,
1,00,"Other Write-Ins",BOT,House of Delegates,41,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144,,,,,,,,,,,,,
1,00,"Lori Albin",DEM,House of Delegates,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15103,,,,,,,,,,,,,,,,,,,,,,,,,,
1,00,"Oz Bengur",DEM,House of Delegates,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14077,,,,,,,,,,,,,,,,,,,,,,,,,,
1,00,"Stephen W. Lafferty",DEM,House of Delegates,42,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16192,,,,,,,,,,,,,,,,,,,,,,,,,,
1,00,"Susan Aumann",REP,House of Delegates,42,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18583,,,,,,,,,,,,,,,,,,,,,,,,,,
1,00,"John C. Fiastro, Jr.",REP,House of Delegates,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15571,,,,,,,,,,,,,,,,,,,,,,,,,,
1,00,"William J. Frank",REP,House of Delegates,42,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17080,,,,,,,,,,,,,,,,,,,,,,,,,,
1,00,"Other Write-Ins",BOT,House of Delegates,42,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,
1,00,"Curt Anderson",DEM,House of Delegates,43,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,00,"Maggie McIntosh",DEM,House of Delegates,43,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
